출처: http://cizz.net/pub/1583-2050-parse.txt
년도: 각 음력달의 길이 x 12개 : 해당 음력년도의 총 일수(윤달길이)     *표시는 윤달이 들어가는 달
1805 :  29  30  29  30  29  29* 30  29  30  30  30  29 : 383(29)
1806 :  30  30  29  30  29  29  29  30  29  30  30  29 : 354
1807 :  30  30  30  29  29  30  29  29  30  29  30  30 : 355
1808 :  29  30  30  29  30* 30  29  30  29  29  30  29 : 383(29)
1809 :  30  30  29  30  30  29  30  29  30  29  29  30 : 355
1810 :  29  30  29  30  30  29  30  30  29  30  29  30 : 355
1811 :  29  29  30* 30  29  30  30  29  30  30  29  30 : 384(29)
1812 :  29  29  30  29  30  29  30  29  30  30  30  29 : 354
1813 :  30  29  30  29  29  29  30  29  30  30  30  29 : 354
1814 :  30  30* 30  29  29  29  30  29  30  30  29  30 : 384(29)
1815 :  30  30  29  29  30  29  29  30  29  30  29  30 : 354
1816 :  30  30  29  30  29  30* 29  30  29  30  29  30 : 384(29)
1817 :  30  29  30  30  29  30  29  30  29  29  30  29 : 354
1818 :  30  29  30  30  29  30  30  29  30  29  29  30 : 355
1819 :  29  30  29  30* 30  30  29  30  30  29  30  29 : 384(29)
1820 :  29  30  29  30  29  30  29  30  30  30  29  30 : 355
1821 :  29  29  30  29  29  30  29  30  30  30  29  30 : 354
1822 :  30  29  30* 29  29  30  29  30  30  29  30  30 : 384(29)
1823 :  30  29  30  29  29  29  30  29  30  29  30  30 : 354
1824 :  30  29  30  29  30  29  29* 29  30  29  30  30 : 384(30)
1825 :  30  29  30  29  30  29  29  30  29  30  29  30 : 354
1826 :  30  29  30  30  29  30  29  29  30  29  30  29 : 354
1827 :  30  29  30  30  29* 29  30  29  30  29  30  29 : 384(30)
1828 :  30  29  30  29  30  30  29  30  29  30  29  30 : 355
1829 :  29  30  29  30  29  30  29  30  30  29  30  30 : 355
1830 :  29  29  30  29* 30  29  30  30  29  30  30  30 : 384(29)
1831 :  29  29  30  29  29  30  29  30  29  30  30  30 : 354
1832 :  29  30  29  30  29  29  30  29  30* 30  30  30 : 384(29)
1833 :  29  30  29  30  29  29  30  29  30  29  30  30 : 354
1834 :  29  30  30  29  30  29  29  30  29  30  29  30 : 354
1835 :  29  30  30  29  30  30* 29  30  29  30  29  30 : 384(29)
1836 :  29  30  29  30  30  29  30  29  30  29  30  29 : 354
1837 :  30  29  30  29  30  29  30  30  29  30  29  30 : 355
1838 :  29  30  29  30* 29  30  30  29  30  30  29  30 : 384(29)
1839 :  29  30  29  29  30  29  30  29  30  30  30  29 : 354
1840 :  30  29  30  29  29  30  29  30  29  30  30  30 : 355
1841 :  29  30  29* 29  29  30  29  30  29  30  30  29 : 383(30)
1842 :  30  30  29  30  29  29  30  29  30  29  30  29 : 354
1843 :  30  30  30  29  30  29  29* 29  30  29  30  29 : 384(30)
1844 :  30  30  29  30  29  30  29  30  29  30  29  30 : 355
1845 :  29  30  29  30  30  29  30  29  30  29  30  29 : 354
1846 :  30  29  30  29  30* 30  29  30  30  29  30  29 : 384(29)
1847 :  30  29  29  30  29  30  29  30  30  30  29  30 : 355
1848 :  29  30  29  29  30  29  30  29  30  30  30  29 : 354
1849 :  30  29  30  29* 30  29  30  29  30  29  30  30 : 384(29)
1850 :  30  29  30  29  29  30  29  29  30  30  29  30 : 354
1851 :  30  30  29  30  29  29  30  29* 30  29  30  30 : 384(29)
1852 :  30  29  30  30  29  29  30  29  30  29  29  30 : 354
1853 :  30  29  30  30  29  30  29  30  29  30  29  30 : 355
1854 :  29  30  29  30  29  30  30* 30  29  30  29  30 : 384(29)
1855 :  29  29  30  29  30  30  29  30  30  29  30  29 : 354
1856 :  30  29  29  30  29  30  29  30  30  30  29  30 : 355
1857 :  29  30  29  29  30* 30  29  30  29  30  30  30 : 384(29)
1858 :  29  30  29  29  30  29  29  30  30  29  30  30 : 354
1859 :  30  29  30  29  29  30  29  29  30  29  30  30 : 354
1860 :  30  29  30* 29  29  30  29  29  30  29  30  30 : 384(30)
1861 :  29  30  30  29  30  29  30  29  30  29  29  30 : 354
1862 :  30  29  30  29  30  30  29  30* 30  29  29  30 : 384(29)
1863 :  29  30  30  29  30  29  30  30  29  30  29  30 : 355
1864 :  29  29  30  29  30  29  30  30  29  30  30  29 : 354
1865 :  30  29  29  30  29* 29  30  30  29  30  30  29 : 384(30)
1866 :  30  29  29  30  29  29  30  30  29  30  30  30 : 355
1867 :  29  30  29  29  30  29  29  30  29  30  30  30 : 354
